"Période";"1. Production de combustibles minéraux solides (en GWh)";"2. Solde importateur (importations - exportations) de combustibles minéraux solides (en GWh)";"2.1 Importations de combustibles minéraux solides (en GWh)";"2.2 Exportation de combustibles minéraux solides (en GWh)";"3. Variation de stocks de combustibles minéraux solides (en GWh)";"4. Consommation réelle de combustibles minéraux solides (en GWh)";"5. Consommation de combustibles minéraux solides CVC-CJO (en GWh)";"6. Consommation de combustibles minéraux solides CVS-CVC-CJO (en GWh)";"7. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"8. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"2018-03";0;7425.904;7442.413;16.51;1175.358;9016.82;8168.91;8170.646;284.173;1.111
"2019-01";0;6147.823;6153.903;6.08;-700.251;7552.786;7003.216;6156.347;393.349;1.06
"2018-11";0;8705.218;8894.963;189.745;208.977;8211.779;8208.078;7378.986;239.74;0.943
"2017-03";0;9089.241;9103.991;14.75;3724.018;7720.911;9270.435;9162.843;192.829;0.754
"2017-05";0;9987.97;10041.597;53.627;-1808.874;8456.327;8322.106;9389.835;65.8;0.839
"2016-01";0;7275.995;7359.65;83.655;-1566.487;8947.624;10068.743;8539.83;325.637;0.878
"2013-07";98.913;9618.312;9791.088;172.775;-375.48;8260.47;7950.531;9537.488;0;1
"2013-03";155.435;10283.944;10435.122;151.178;-2491.041;13782.897;11883.419;10728.667;328.805;1.286
"2013-02";117.754;12291.014;12312.611;21.597;-3000.342;12943.653;11797.243;10961.707;383.934;1.201
"2012-04";113.044;11366.569;11589.737;223.168;-2077.444;10976.125;;11328.478;203.518;1.225
"2012-02";113.044;12320.648;12493.981;173.334;-5721.879;12635.247;;9051.335;447.752;1.401
"2011-11";164.855;10994.165;11102.707;108.543;-4867.632;11505.388;;11012.898;198.874;0.782
"2009-10";32.971;10616.271;10956.472;340.201;-5255.167;12809.05;;11152.811;134.189;1.078
"2008-12";75.362;13095.578;13573.175;477.598;-2595.444;10297.734;;8042.219;403.777;1.144
"2007-04";4.71;12324.241;13041.684;717.443;-2236.484;13846.51;;13452.429;82.878;0.499
"2005-03";348.551;14036.875;14524.463;487.588;-384.941;14392.554;;12840.343;278.725;1.09
"2003-06";1319.447;8196.533;8645.835;449.302;309.23;11089.463;;12862.061;0;1
"2003-01";1519.332;12916.708;13171.58;254.871;-910.478;15202.958;;11591.056;422.876;1.14
"2001-11";1472.846;8882.04;9411.682;529.642;-4453.964;15177.831;;13523.443;307.383;1.209
"2001-10";1715.925;9804.695;10427.388;622.693;4999.818;10536.138;;10428.588;50.908;0.409
"1997-09";5219.742;9526.749;10010.906;484.157;-1462.705;16209.196;;14643.735;0;1
"1997-01";4377.218;8569.984;8990.409;420.425;-8253.416;21200.618;;15962.478;459.215;1.238
"1993-07";4937.558;8700.198;9216.106;515.908;;;;;0;1
"1993-04";6304.986;6835.806;7471.345;635.539;;;;;156.559;0.943
"2015-12";0;10102.075;10256.788;154.712;4566.876;8387.233;10464.879;9638.551;231.356;0.656
"2014-02";174.276;8884.087;9198.725;314.638;1091.569;7629.462;8800.46;7865.631;259.738;0.812
"2010-06";94.203;10241.273;10442.403;201.129;2136.866;8376.088;;9711.849;0;1
"2008-05";4.71;13112.86;13755.034;642.174;5218.451;9902.728;;11847.332;35.014;0.446
"2006-03";343.841;12688.086;13270.365;582.279;-582.593;15349.493;;13142.288;299.017;1.169
"2002-09";1719.298;9819.802;10049.169;229.367;2698.16;12838.707;;13409.786;0;1
"2002-07";1286.557;8138.395;8336.733;198.338;-1293.744;11152.853;;12464.719;0;1
"2000-10";2686.854;10492.947;11042.01;549.064;-50.673;15194.89;;15193.289;127.436;1.023
"1998-07";1636.446;8714.08;9057.049;342.969;-2679.005;15655.041;;17083.566;0;1
"1996-07";3524.797;10574.636;10900.369;325.733;5.303;14094.13;;14962.381;0;1
"1996-06";4909.488;10047.669;10394.999;347.33;-1118.492;16075.649;;15717.164;0;1
"1994-04";4553.601;8752.163;9394.079;641.916;;;;;218.931;1.318
"1992-05";5759.362;11323.324;11871.856;548.532;;;;;59.697;0.761
"1991-07";5739.154;9118.548;9768.231;649.683;;;;;0;1
"2015-10";0;8867.468;9069.039;201.571;19.783;8968.412;8677.303;7606.065;153.532;1.233
"2015-06";0;5903.121;5903.121;0;-1540.894;6485.032;6329.726;7938.227;0;1
"2014-12";0;7100.487;7561.221;460.734;-2030.714;9462.199;9543.234;8752.607;346.389;0.982
"2013-12";80.073;13736.146;13822.534;86.388;-378.34;9971.23;10365.11;9509.98;341.833;0.969
"2013-09";160.145;11228.73;11365.511;136.78;-1597.462;10934.513;11018.599;11320.027;0;1
"2012-09";89.493;11932.159;12016.372;84.213;39.216;9309.32;;9863.609;0;1
"2011-10";98.913;8008.36;8143.524;135.164;-2196.395;10573.324;;9327.309;108.5;0.871
"2010-07";75.362;13294.695;13354.508;59.813;2025.399;9227.47;;10899.319;0;1
"2009-03";65.942;11909.504;12118.948;209.445;2222.493;10254.595;;9127.727;276.464;1.081
"2008-10";178.986;14370.389;15016.97;646.581;2942.297;14364.838;;12596.175;156.372;1.256
"2006-10";150.725;12283.187;12904.822;621.635;1776.273;11609.597;;11714.551;52.587;0.422
"2005-10";216.667;11680.998;12089.897;408.899;1208.392;12892.514;;13413.215;51.592;0.414
"2003-10";1738.22;11183.234;11646.991;463.758;919.677;13812.298;;13808.996;195.283;1.568
"2002-10";1339.439;12431.237;12811.875;380.638;-1744.128;14468.142;;14427.435;122.663;0.985
"2002-04";652.966;13317.083;13502.139;185.057;-504.091;12879.47;;12930.528;165.079;0.994
"2002-02";1361.571;9642.142;10123.473;481.331;1211.718;14852.865;;15308.067;242.195;0.758
"2000-08";1069.146;10211.663;10695.902;484.238;497.338;11392.724;;14403.695;0;1
"2000-04";2348.097;9538.426;10022.664;484.238;-397.002;15336.489;;15650.971;177.03;1.066
"1997-02";4330.012;7658.809;8074.279;415.47;-3652.878;15641.699;;16078.669;257.864;0.807
"1996-05";5048.49;19787.27;20167.862;380.592;1142.554;23693.206;;15410.331;126.237;1.609
"1994-12";5287.835;7962.138;8596.589;634.451;;;;;306.323;0.868
"1992-09";6971.859;12540.144;13201.389;661.245;;;;;0;1
"1992-02";7328.872;12909.809;13540.997;631.188;;;;;333.546;1.043
"2013-08";9.891;9606.892;9729.274;122.382;-2159.429;9425.957;9510.01;11066.364;0;1
"2013-04";150.725;12278.279;12362.492;84.213;535.434;9972.027;9898.67;10207.367;194.076;1.168
"2010-03";94.439;13489.37;13608.461;119.091;403.594;12538.807;;10626.516;286.275;1.119
"2009-08";14.13;6623.052;7416.463;793.41;536.05;8048.891;;10704.012;0;1
"2006-02";320.29;14219.443;14634.983;415.54;1404.997;15248.619;;12948.882;371.281;1.161
"2005-07";169.565;11428.72;12293.387;864.667;-987.736;11632.752;;12931.339;0;1
"2005-04";259.058;13039.219;14143.685;1104.466;751.345;13698.481;;13063.799;168.5;1.014
"2005-02";287.319;13589.318;14101.794;512.476;-2921.293;14754.456;;12156.268;382.496;1.197
"2004-11";273.189;13539.948;14133.904;593.956;-1689.804;12337.907;;11451.487;277.279;1.091
"2004-02";490.228;10886.994;11440.431;553.437;-1783.728;13211.128;;11516.447;329.034;1.029
"2002-01";1651.297;8534.792;8832.857;298.065;-5077.96;16703.516;;14725.574;356.37;0.961
"2001-03";2245.334;10317.857;10818.168;500.311;2079.584;11935.513;;12686.36;216.691;0.847
"2000-01";3102.547;9940.58;10464.709;524.129;-3836.597;20775.587;;16994.926;393.354;1.06
"1996-10";6057.497;13365.266;13898.687;533.422;2067.523;17355.24;;15645.746;134.946;1.084
"1995-10";5153.079;9093.683;9623.22;529.537;-2503.741;16750.503;;14755.955;58.615;0.471
"1995-02";4591.582;9388.445;9935.172;546.726;920.294;13059.734;;10742.693;238.149;0.745
"1994-07";4007.977;8583.003;9075.636;492.633;;;;;0;1
"1994-05";4890.406;4930.843;5572.759;641.916;;;;;76.119;0.97
"1991-05";6992.068;11168.652;11922.882;754.23;;;;;143.296;1.827
"2015-09";0;5734.102;5788.402;54.3;13.363;7733.517;7644.707;7777.105;0;1
"2017-08";0;9434.595;9441.779;7.184;487.12;7243.646;7153.654;8160.875;0;1
"2015-03";0;6950.832;7037.22;86.388;-3574.248;9770.788;9689.819;9025.745;257.449;1.007
"2011-01";18.841;9095.09;9231.871;136.78;-2199.163;9132.779;;7308.309;380.373;1.025
"2008-11";131.884;14639.635;15564.127;924.492;3611.731;9875.413;;8855.886;266.518;1.048
"2008-07";89.493;15913.492;16878.119;964.627;2510.44;11308.655;;12498.084;0;1
"2008-04";75.362;14759.203;15806.426;1047.223;3270.984;14159.634;;13556.883;193.732;1.166
"2007-02";174.276;12426.027;12978.906;552.879;-1309.829;12300.99;;12614.918;243.557;0.762
"2001-07";633.405;8811.283;9128.213;316.929;-312.498;11319.208;;12781.007;0;1
"2001-05";1820.432;11455.027;11908.794;453.768;1607.51;11682.434;;13991.01;65.332;0.833
"2000-11";2577.268;12786.045;13328.457;542.412;1712.841;14853.615;;12984.999;237.709;0.935
"1999-10";3976.297;8082.466;8613.783;531.317;-1751.873;15121.238;;15010.646;128.865;1.035
"1998-08";3188.585;10736.967;11015.099;278.131;5064.423;12772.994;;16157.906;0;1
"1996-12";3666.392;9931.171;10397.057;465.886;-5194.923;18792.487;;15117.703;413.182;1.171
"1995-07";3514.202;7007.901;7383.468;375.568;-2148.945;12671.048;;15495.926;0;1
"1994-11";5523.599;9279.583;9951.355;671.772;;;;;175.026;0.689
"1994-08";3597.075;5934.133;6426.766;492.633;;;;;0;1
"1993-08";3617.284;5373.391;6008.93;635.539;;;;;0;1
"1992-12";6992.068;11180.828;11676.762;495.933;;;;;353.2;1.001
"1992-10";7719.566;11892.44;12673.911;781.471;;;;;209.843;1.685
"1992-04";6897.762;13315.315;13923.961;608.646;;;;;197.517;1.189
"2014-06";122.464;6702.509;6824.891;122.382;-1529.554;6868.799;7030.24;8724.501;0;1
"2012-12";108.333;12603.675;12610.874;7.199;1233.78;9970.192;;9929.355;325.45;0.922
"2011-07";18.841;10833.136;10968.858;135.722;3012.949;6848.301;;8716.707;0;1
"2010-12";117.754;11856.087;12238.191;382.104;-3247.898;13337.896;;10048.005;468.628;1.328
"2010-01";117.754;11817.441;12018.57;201.129;-1834.798;14092.639;;10474.511;475.215;1.281
"2009-02";113.044;10653.033;11126.223;473.19;-5423.464;12163.392;;10784.868;342.672;1.072
"2007-07";183.696;10238.808;10917.977;679.169;829.51;11865.773;;12914.991;0;1
"2007-05";155.435;9521.76;10087.467;565.706;76.653;12783.992;;14835.307;60.382;0.77
"2005-08";131.884;12435.843;12838.101;402.258;3293.872;8735.512;;11133.624;0;1
"2005-01";249.638;14288.955;14783.184;494.228;-681.948;14054.744;;12450.613;367.051;0.989
"2003-09";1352.232;12051.25;12280.617;229.367;-2739.458;13026.269;;13253.365;0;1
"2003-04";1348.778;11179.047;11318.118;139.072;-3144.438;13189.032;;13080.381;152.871;0.92
"2003-03";1440.945;8549.097;8859.385;310.288;-1153.44;12595.73;;13867.404;208.185;0.814
"2002-03";591.199;12364.785;12608.55;243.765;-1263.634;12935.756;;13266.293;228.865;0.895
"2001-04";1977.472;13077.644;13570.198;492.554;233.763;12428.022;;12302.963;208.677;1.256
"1999-11";3351.673;10563.61;11134.271;570.661;-644.453;17215.028;;15383.88;310.278;1.221
"1998-02";3919.322;8799.967;9170.057;370.09;612.075;15470.705;;14005.269;291.746;0.913
"1998-01";3271.6;8212.524;8474.002;261.477;-3683.605;15752.587;;13331.167;352.219;0.949
"1995-09";5927.253;7786.145;8238.704;452.558;-2691.577;16404.976;;18579.073;0;1
"1994-02";5355.196;7430.223;7990.033;559.81;;;;;309.982;0.97
"2016-02";0;9859.042;10667.676;808.634;1338.747;8136.547;8238.166;7218.158;293.966;0.92
"2013-11";122.464;13140.376;13269.958;129.581;-587.257;11710.476;11642.576;10484.362;280.871;1.105
"2011-02";51.812;10271.244;10364.83;93.587;-1936.93;9812.308;;9653.542;290.502;0.909
"2010-09";108.333;11357.276;11388.294;31.017;1587.96;8920.82;;8955.65;0;1
"2009-04";9.42;10244.553;10441.228;196.675;3826.41;6983.451;;6820.638;135.179;0.814
"2008-08";37.681;10426.656;11071.562;644.907;3422.523;9314.53;;12297.502;0;1
"2007-10";103.623;12199.521;12784.045;584.524;-1000.866;12925.528;;11413.887;157.386;1.264
"2004-06";315.58;9797.054;10373.82;576.767;-838.43;11014.898;;12607.248;0;1
"2002-06";798.632;10828.298;11175.697;347.4;-371.846;10424.341;;12368.201;0;1
"2000-03";3272.67;12468.825;13046.708;577.883;5221.533;14469.437;;13120.362;260.986;1.02
"1999-05";3000.261;10181.274;10412.304;231.03;5602.95;10558.514;;13477.68;43.377;0.553
"1997-07";2800.539;7681.115;8020.723;339.608;1328.844;9152.81;;11144.626;0;1
"1996-04";5152.567;9066.376;9456.888;390.512;1578.435;12640.507;;13912.353;177.954;1.071
"1995-04";4556.553;6886.414;7496.814;610.401;-2368.415;13811.381;;13668.372;187.29;1.128
"1993-03";7456.858;12411.067;13024.175;613.108;;;;;283.709;1.109
"1992-03";6877.554;17117.485;17688.56;571.075;;;;;259.755;1.016
"2016-08";0;5008.464;5128.277;119.813;-511.184;6915.672;6828.781;8019.558;0;1
"2013-10";141.305;12349.06;12521.835;172.775;-195.384;11331.168;11618.054;10306.166;82.676;0.664
"2013-06";150.725;8278.49;8508.857;230.367;-177.637;6820.049;7018.238;8766.727;0;1
"2012-10";98.913;14268.359;14333.708;65.349;2219.446;11422.69;;9759.75;123.606;0.993
"2012-07";141.305;8798.479;9138.563;340.084;-999.203;9649.852;;11193.37;0;1
"2011-12";117.754;9609.916;9982.203;372.288;4023.026;8349.653;;8454.331;296.789;0.841
"2011-06";23.551;8022.711;8133.487;110.776;1814.42;7195.604;;9064.052;0;1
"2011-04";37.681;9319.701;9465.343;145.642;-188.15;8455.233;;8672.533;83.526;0.503
"2011-03";80.073;8544.27;8595.221;50.951;-2896.928;10055.058;;9264.544;240.988;0.942
"2010-11";103.623;12895.123;13276.668;381.545;-1966.261;11387.514;;10087.057;276.919;1.089
"2009-05";9.42;6071.232;6412.549;341.317;-347.609;6218.315;;8311.635;59.968;0.764
"2005-12";287.319;9634.978;10113.076;478.098;-6447.463;16398.02;;13759.728;420.387;1.191
"2003-11";746.716;9503.024;10027.107;524.083;-1701.725;13333.752;;12320.686;229.229;0.902
"2001-12";957.893;11009.667;11491.103;481.435;-4019.037;16227.211;;13382.321;428.734;1.215
"2001-02";1914.903;10605.269;11044.639;439.37;1761.375;11629.047;;10326.42;297.987;0.932
"2000-02";3186.446;14211.674;14729.709;518.035;-2385.29;17466.37;;16469.077;276.458;0.865
"1999-04";3711.086;11303.709;11581.282;277.573;3272.194;11792.661;;12087.205;167.62;1.009
"1999-01";3590.821;9747.58;9947.023;199.443;-1696.887;17828.459;;15804.292;331.899;0.895
"1996-09";5181.177;6095.074;6524.93;429.856;-1802.371;13078.621;;14831.357;0;1
"1995-11";5237.35;9686.464;10165.597;479.133;-3205.065;18128.879;;14455.742;266.848;1.05
"1993-12";5806.515;6783.827;7688.535;904.708;;;;;310.997;0.881
"1993-02";6581.166;15503.595;16079.318;575.723;;;;;372.469;1.165
"1993-01";6446.444;8604.422;9172.668;568.246;;;;;322.988;0.871
"2017-02";0;10531.834;10819.242;287.408;2969.176;9173.024;10226.992;9302.441;255.264;0.799
"2017-10";0;9741.057;9761.702;20.645;-291.263;8793.431;9134.142;8300.733;87.921;0.706
"2015-08";0;8556.133;8556.133;0;1326.913;6814.515;6881.366;8201.844;0;1
"2013-01";146.015;10702.589;10724.186;21.597;464.374;13109.372;12371.028;10689.367;402.257;1.084
"2012-11";122.464;14830.378;14851.975;21.597;646.326;10765.725;;9466.494;252.212;0.992
"2012-08";160.145;11582.491;11627.36;44.869;868.889;8786.217;;10447.344;0;1
"2012-05";122.464;9010.122;9267.668;257.546;-2757.415;8702.102;;10323.629;73.287;0.934
"2010-08";103.623;9806.032;9875.289;69.257;2865.027;5944.804;;8163.952;0;1
"2009-01";113.044;8613.306;9206.087;592.781;-1476.812;12173.206;;8610.129;456.461;1.23
"2007-09";113.044;9904.05;10635.902;731.853;7.676;12385.498;;12845.741;0;1
"2006-12";113.044;13002.352;13611.764;609.412;-1779.913;13192.781;;12181.494;350.907;0.994
"2006-07";80.073;10610.433;11082.506;472.073;-1138.821;11306.918;;12670.396;0;1
"2006-06";146.015;9670.333;10173.994;503.66;1537.416;10903.089;;12338.224;0;1
"2005-05";273.189;11944.475;12631.401;686.926;5395.541;11827.83;;13485.773;84.077;1.072
"2004-01";564.706;14690.795;15403.342;712.547;-1128.459;13038.694;;11446.466;366.599;0.988
"2001-06";1514.784;11157.147;11487.905;330.757;-1240.63;11560.833;;13763.878;0;1
"1999-06";3309.363;10574.88;10920.593;345.713;1315.551;11694.855;;13884.049;0;1
"1998-11";3344.904;10716.475;11063.852;347.376;-3868.801;17626.98;;15795.673;345.189;1.358
"1997-12";2473.666;8837.358;9214.623;377.266;-5987.089;17298.113;;14197.543;332.154;0.941
"1997-06";4799.445;6863.293;7228.906;365.612;2074.699;9588.039;;12994.906;0;1
"1995-03";6742.527;7720.971;8462.081;741.11;-701.149;15164.648;;12329.576;299.294;1.17
"1991-09";8042.899;15384.195;16130.958;746.762;;;;;0;1
"2016-12";0;10668.934;10851.21;182.276;7.321;9699.731;9276.527;8512.539;373.202;1.058
"2016-04";0;4997.278;5074.356;77.077;-2073.514;6586.462;6530.417;7157.447;191.505;1.153
"2014-03";174.276;13559.44;13782.666;223.226;-1601.998;9084.9;10022.985;9043.13;228.332;0.893
"2013-05";141.305;13181.814;13363.463;181.649;2388.942;7664.008;7693.017;9276.448;140.301;1.789
"2009-09";14.13;9734.88;10270.127;535.247;-3157.661;11420.579;;11425.768;0;1
"2004-12";310.87;13551.136;14074.161;523.024;4.594;13135.296;;11674.101;392.699;1.113
"2000-12";1625.517;11232.905;11727.122;494.217;-3038.014;14961.438;;13130.563;279.898;0.793
"1999-03";3389.436;12251.251;12535.465;284.214;4861.747;16111.679;;15601.766;243.719;0.953
"1995-12";4206.315;8161.911;8508.113;346.202;-146.189;12514.415;;12341.297;393.291;1.115
"1993-05";6015.334;10586.195;11214.257;628.062;;;;;71.011;0.905
"2017-01";0;11317.554;11436.187;118.633;-1426.937;11825.576;10123.015;8787.67;452.737;1.22
"2016-11";0;8569.923;8646.82;76.896;-433.332;9789.51;9781.476;8657.942;256.744;1.01
"2014-08";103.623;7703.642;7746.836;43.194;1384.214;6473.175;6702.946;8096.495;0;1
"2014-05";103.623;5519.342;5591.332;71.99;-11.537;7012.623;7036.212;8642.637;86.091;1.097
"2014-04";136.594;7483.603;7851.308;367.706;-909.268;8255.947;8195.627;8609.336;126.308;0.76
"2011-09";18.841;10991.85;11088.786;96.936;846.617;8157.246;;8320.823;0;1
"2011-08";42.391;9750.592;9931.183;180.591;2676.551;6902.297;;8863.067;0;1
"2011-05";28.261;12032.572;12090.164;57.592;1837.61;9395.286;;10468.702;45.445;0.579
"2009-06";0;7717.994;8359.609;641.615;-118.045;7635.226;;9052.024;0;1
"2008-03";103.623;9936.184;10637.065;700.882;827.184;12900.52;;11972.994;282.251;1.104
"2008-02";117.754;11976.783;12593.953;617.169;-108.822;12758.057;;12246.505;283.622;0.887
"2005-06";226.087;10114.983;10967.485;852.502;2082.049;10952.798;;12311.543;0;1
"2004-03";754.717;11705.083;12399.825;694.741;-4223.248;14588.733;;11775.899;296.857;1.161
"2003-12";638.196;11847.679;12134.137;286.459;554.484;13356.791;;12240.721;352.74;1
"2003-08";946.252;10670.141;10907.207;237.066;789.596;12063.125;;14398.965;0;1
"2003-07";914.083;8688.517;8988.815;300.298;-2497.24;11078.332;;12288.782;0;1
"1999-08";2004.768;10501.169;10737.735;236.566;330.571;10337.167;;13611.765;0;1
"1998-09";3607.01;9130.097;9565.024;434.927;2005.768;13333.761;;14881.201;0;1
"1997-04";4483.842;9873.998;10222.444;348.446;5376.828;8981.012;;12371.382;185.552;1.117
"1996-08";2668.038;8906.37;9278.077;371.706;5011.181;6563.228;;11094.5;0;1
"1995-06";5291.01;10377.088;10951.494;574.406;-348.947;16017.045;;16035.293;0;1
"1995-01";5869.335;5978.564;6456.022;477.458;-633.509;12481.409;;12748.348;363.155;0.979
"1992-11";7396.233;12075.952;12594.428;518.476;;;;;220.729;0.868
"1991-06";6850.61;11129.066;11763.814;634.748;;;;;0;1
"2016-10";0;7827.826;8036.458;208.632;-1827.933;9385.873;9221.723;8225.171;155.904;1.252
"2014-09";122.464;11315.222;11387.77;72.548;1948.083;8006.403;7913.989;8086.491;0;1
"2010-10";160.145;9044.581;9073.935;29.354;-476.167;11375.407;;9558.112;157.625;1.266
"2010-04";84.783;12316.786;12361.655;44.869;1701.481;10884.946;;10779.844;158.138;0.952
