"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2015",54.91,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2016",42.8,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2017",53.69,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2018",71.51,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2019",64.39,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2020",45.91,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2021",69.66,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2022",88.84,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2000",29.66,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2001",24.82,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2002",24.88,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2003",29.68,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2004",38.78,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2005",54.4,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2006",66.92,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2007",74.94,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2008",96.48,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2009",62.87,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2010",80.4,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2011",112.77,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2012",107.9,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2013",107.25,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2014",100.19,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2015",52.43,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2016",44.69,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2017",55.4,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2018",72.04,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2019",64.88,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2020",42.37,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2021",71.19,
"DNK","OILIMPPRICE","TOT","USD_BAR","A","2022",105.93,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2000",28.13,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2001",23.49,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2002",24.51,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2003",27.72,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2004",36.09,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2005",51.12,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2006",63.37,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2007",70.48,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2008",94.79,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2009",61.01,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2010",79.1,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2011",109.23,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2012",110.47,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2013",107.57,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2014",97.53,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2015",49.28,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2016",42.19,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2017",53.04,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2018",68.49,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2019",63.58,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2020",40.55,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2021",70.1,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2022",101.45,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2000",28.18,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2001",24.13,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2002",24.63,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2003",28.87,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2004",37.61,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2005",52.74,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2006",63.69,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2007",72.22,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2008",97.63,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2009",61.64,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2010",79.78,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2011",111.78,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2012",112.01,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2013",109.56,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2014",99.4,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2015",53.14,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2016",43.48,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2017",54.47,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2018",71.59,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2019",64.98,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2020",44.04,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2021",71.7,
"FRA","OILIMPPRICE","TOT","USD_BAR","A","2022",105.06,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2000",28.09,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2001",24.15,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2002",24.4,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2003",28.44,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2004",36.65,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2005",52.3,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2006",63.29,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2007",71.6,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2008",96.7,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2009",61.18,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2010",78.49,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2011",110.63,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2012",112.21,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2013",109.62,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2014",99.76,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2015",52.65,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2016",42.8,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2017",54.02,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2018",70.5,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2019",64.43,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2020",43.05,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2021",71.19,
"DEU","OILIMPPRICE","TOT","USD_BAR","A","2022",97.99,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2000",26.95,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2001",23.22,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2002",24.08,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2003",27.17,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2004",34.53,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2005",50.33,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2006",60.97,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2007",69.93,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2008",93.6,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2009",60.1,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2010",78.97,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2011",109.41,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2012",111.92,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2013",107.61,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2014",95.55,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2015",49.32,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2016",40.08,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2017",50.81,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2018",68.14,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2019",62.24,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2020",40.07,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2021",69.15,
"GRC","OILIMPPRICE","TOT","USD_BAR","A","2022",97.5,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2000",29.88,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2001",25.31,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2002",25.52,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2003",29.66,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2004",39.24,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2005",55.24,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2006",66.38,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2007",74.16,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2008",100.39,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2009",62.61,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2010",80.95,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2011",113.92,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2012",115.64,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2013",110.46,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2014",99.87,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2015",53.54,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2016",45.03,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2017",55.01,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2018",72.18,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2019",65.03,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2020",43.71,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2021",71.28,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2022",104.42,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2000",27.77,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2001",23.87,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2002",24.34,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2003",28.58,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2004",36.6,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2005",51.33,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2006",62.5,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2007",70.2,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2008",96.67,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2009",60.69,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2010",79.29,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2011",110.23,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2012",112.18,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2013",109.98,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2014",99.09,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2015",52.06,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2016",42.33,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2017",53.17,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2018",70.88,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2019",64.7,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2020",43.24,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2021",71.45,
"ITA","OILIMPPRICE","TOT","USD_BAR","A","2022",99.91,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2000",28.72,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2001",25.01,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2002",24.96,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2003",29.26,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2004",36.59,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2005",51.57,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2006",64.03,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2007",70.09,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2008",100.98,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2009",61.29,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2010",79.43,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2011",109.3,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2012",114.75,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2013",110.61,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2014",104.16,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2015",54.2,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2016",41.79,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2017",54.42,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2018",72.85,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2019",66.78,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2020",46.85,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2021",70.25,
"JPN","OILIMPPRICE","TOT","USD_BAR","A","2022",102.11,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2000",28.22,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2001",24.87,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2002",24.12,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2003",28.8,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2004",36.15,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2005",50.19,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2006",62.82,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2007",70.01,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2008",98.11,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2009",61.12,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2010",78.72,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2011",108.63,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2012",113.24,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2013",108.59,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2014",101.24,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2015",53.32,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2016",41,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2017",53.47,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2018",71.56,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2019",65.42,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2020",45.23,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2021",70.24,
"KOR","OILIMPPRICE","TOT","USD_BAR","A","2022",102.53,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2000",27.59,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2001",23.48,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2002",23.99,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2003",27.67,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2004",35.02,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2005",50,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2006",61.47,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2007",68.74,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2008",97.89,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2009",60.54,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2010",78.55,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2011",109.19,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2012",111.54,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2013",108.55,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2014",99.22,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2015",51.66,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2016",41.62,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2017",52.63,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2018",69.99,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2019",63.96,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2020",42.38,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2021",71.03,
"NLD","OILIMPPRICE","TOT","USD_BAR","A","2022",99.42,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2000",29.95,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2001",26.14,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2002",25.89,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2003",31,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2004",41.71,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2005",56.07,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2006",67.36,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2007",73.84,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2008",105.8,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2009",65.85,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2010",80.62,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2011",112.38,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2012",117.7,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2013",113.43,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2014",105.96,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2015",57.99,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2016",44.91,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2017",55.91,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2018",75.68,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2019",69.27,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2020",51.28,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2021",77.73,
"NZL","OILIMPPRICE","TOT","USD_BAR","A","2022",97.27,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2000",28.91,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2001",23.43,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2002",24.46,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2003",30.41,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2004",39.2,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2005",53.08,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2006",58.83,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2007",70.16,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2008",80.22,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2009",69.08,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2010",81.06,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2011",111.18,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2012",108.23,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2013",109.07,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2014",101.61,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2015",51.29,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2016",46.12,
"NOR","OILIMPPRICE","TOT","USD_BAR","A","2017",53.7,
